Period,Thousands
Jan to Mar 2006,600
Feb to Apr 2006,597
Mar to May 2006,597
Apr to June 2006,604
May to July 2006,607
June to Aug 2006,610
July to Sept 2006,611
Aug to Oct 2006,618
Sept to Nov 2006,620
Oct to Dec 2006,620
Nov to Jan 2007,619
Dec to Feb 2007,629
Jan to Mar 2007,642
Feb to Apr 2007,647
Mar to May 2007,651
Apr to June 2007,659
May to July 2007,670
June to Aug 2007,681
July to Sept 2007,684
Aug to Oct 2007,686
Sept to Nov 2007,691
Oct to Dec 2007,687
Nov to Jan 2008,679
Dec to Feb 2008,687
Jan to Mar 2008,698
Feb to Apr 2008,694
Mar to May 2008,679
Apr to June 2008,657
May to July 2008,643
June to Aug 2008,624
July to Sept 2008,615
Aug to Oct 2008,596
Sept to Nov 2008,562
Oct to Dec 2008,527
Nov to Jan 2009,498
Dec to Feb 2009,478
Jan to Mar 2009,464
Feb to Apr 2009,454
Mar to May 2009,444
Apr to June 2009,431
May to July 2009,429
June to Aug 2009,438
July to Sept 2009,436
Aug to Oct 2009,432
Sept to Nov 2009,437
Oct to Dec 2009,454
Nov to Jan 2010,464
Dec to Feb 2010,467
Jan to Mar 2010,465
Feb to Apr 2010,467
Mar to May 2010,479
Apr to June 2010,484
May to July 2010,479
June to Aug 2010,461
July to Sept 2010,455
Aug to Oct 2010,455
Sept to Nov 2010,474
Oct to Dec 2010,483
Nov to Jan 2011,495
Dec to Feb 2011,490
Jan to Mar 2011,483
Feb to Apr 2011,472
Mar to May 2011,461
Apr to June 2011,460
May to July 2011,457
June to Aug 2011,462
July to Sept 2011,464
Aug to Oct 2011,467
Sept to Nov 2011,462
Oct to Dec 2011,465
Nov to Jan 2012,476
Dec to Feb 2012,473
Jan to Mar 2012,467
Feb to Apr 2012,465
Mar to May 2012,470
Apr to June 2012,474
May to July 2012,479
June to Aug 2012,483
July to Sept 2012,487
Aug to Oct 2012,490
Sept to Nov 2012,493
Oct to Dec 2012,501
Nov to Jan 2013,503
Dec to Feb 2013,505
Jan to Mar 2013,506
Feb to Apr 2013,515
Mar to May 2013,522
Apr to June 2013,533
May to July 2013,539
June to Aug 2013,536
July to Sept 2013,547
Aug to Oct 2013,552
Sept to Nov 2013,567
Oct to Dec 2013,573
Nov to Jan 2014,584
Dec to Feb 2014,596
Jan to Mar 2014,616
Feb to Apr 2014,639
Mar to May 2014,653
Apr to June 2014,661
May to July 2014,669
June to Aug 2014,681
July to Sept 2014,686
Aug to Oct 2014,702
Sept to Nov 2014,702
Oct to Dec 2014,708
Nov to Jan 2015,712
Dec to Feb 2015,722
Jan to Mar 2015,730
Feb to Apr 2015,726
Mar to May 2015,727
Apr to June 2015,730
May to July 2015,741
June to Aug 2015,742
July to Sept 2015,741
Aug to Oct 2015,741
Sept to Nov 2015,741
Oct to Dec 2015,746
Nov to Jan 2016,750
Dec to Feb 2016,748
Jan to Mar 2016,748
Feb to Apr 2016,742
Mar to May 2016,745
Apr to June 2016,746
May to July 2016,747
June to Aug 2016,752
July to Sept 2016,753
Aug to Oct 2016,765
Sept to Nov 2016,758
Oct to Dec 2016,755
Nov to Jan 2017,748
Dec to Feb 2017,764
Jan to Mar 2017,771
Feb to Apr 2017,791
Mar to May 2017,786
Apr to June 2017,786
May to July 2017,784
June to Aug 2017,793
July to Sept 2017,800
Aug to Oct 2017,812
Sept to Nov 2017,819
Oct to Dec 2017,820
Nov to Jan 2018,817
Dec to Feb 2018,814
Jan to Mar 2018,815
Feb to Apr 2018,811
Mar to May 2018,821
Apr to June 2018,832
May to July 2018,837
June to Aug 2018,842
July to Sept 2018,846
Aug to Oct 2018,864
Sept to Nov 2018,862
Oct to Dec 2018,856
Nov to Jan 2019,855
Dec to Feb 2019,847
Jan to Mar 2019,845
Feb to Apr 2019,840
Mar to May 2019,835
Apr to June 2019,822
May to July 2019,821
June to Aug 2019,815
July to Sept 2019,818
Aug to Oct 2019,813
Sept to Nov 2019,809
Oct to Dec 2019,811
Nov to Jan 2020,812
Dec to Feb 2020,819
Jan to Mar 2020,795
Feb to Apr 2020,637
Mar to May 2020,471
Apr to June 2020,328
May to July 2020,369
June to Aug 2020,428
July to Sept 2020,490
Aug to Oct 2020,535
Sept to Nov 2020,560
Oct to Dec 2020,602
Nov to Jan 2021,617
Dec to Feb 2021,621
Jan to Mar 2021,626
Feb to Apr 2021,659
Mar to May 2021,764
Apr to June 2021,867
May to July 2021,968
June to Aug 2021,1052
July to Sept 2021,1125
Aug to Oct 2021,1198
Sept to Nov 2021,1223
Oct to Dec 2021,1243
Nov to Jan 2022,1250
Dec to Feb 2022,1267
Jan to Mar 2022,1276
Feb to Apr 2022,1291
Mar to May 2022,1300
Apr to June 2022,1290
May to July 2022,1263
June to Aug 2022,1244
July to Sept 2022,1222
Aug to Oct 2022,1208
Sept to Nov 2022,1167
Oct to Dec 2022,1138
Nov to Jan 2023,1114
Dec to Feb 2023,1112
Jan to Mar 2023,1104
Feb to Apr 2023,1075
Mar to May 2023,1043
Apr to June 2023,1025
May to July 2023,1010
June to Aug 2023,988
July to Sept 2023,973
Aug to Oct 2023,952
Sept to Nov 2023,948
Oct to Dec 2023,924
Nov to Jan 2024,916
Dec to Feb 2024,904
Jan to Mar 2024,905
Feb to Apr 2024,893
Mar to May 2024,886
Apr to June 2024,868
May to July 2024,859
June to Aug 2024,845
July to Sept 2024,832
Aug to Oct 2024,823
Sept to Nov 2024,807
Oct to Dec 2024,806
Nov to Jan 2025,803
Dec to Feb 2025,799
Jan to Mar 2025,781
